iter	Passed	Remaining
0	387	38358
1	726	35611
2	1017	32895
3	1321	31716
4	1584	30100
5	1871	29313
6	2200	29239
7	2529	29089
8	2823	28551
9	3079	27711
10	3328	26929
11	3717	27262
12	4070	27241
13	4407	27074
14	4740	26860
15	5076	26652
16	5361	26177
17	5625	25627
18	5884	25086
19	6144	24577
20	6423	24165
21	6679	23682
22	6948	23262
23	7204	22814
24	7475	22427
25	7733	22011
26	7991	21606
27	8264	21252
28	8528	20878
29	8806	20549
30	9086	20225
31	9383	19939
32	9646	19585
33	9931	19277
34	10283	19097
35	10569	18789
36	10852	18478
37	11129	18158
38	11478	17954
39	11734	17602
40	12069	17367
41	12347	17051
42	12631	16744
43	12904	16424
44	13165	16091
45	13447	15785
46	13836	15603
47	14100	15275
48	14448	15038
49	14700	14700
50	15036	14446
51	15301	14124
52	15583	13818
53	15839	13492
54	16106	13178
55	16383	12872
56	16650	12560
57	16910	12245
58	17173	11934
59	17493	11662
60	17780	11367
61	18132	11113
62	18413	10814
63	18709	10523
64	19022	10243
65	19309	9947
66	19693	9699
67	19984	9404
68	20280	9111
69	20566	8814
70	20852	8517
71	21103	8206
72	21367	7903
73	21723	7632
74	22021	7340
75	22284	7037
76	22671	6772
77	22960	6475
78	23305	6195
79	23567	5891
80	23823	5588
81	24090	5288
82	24349	4987
83	24621	4689
84	24881	4390
85	25152	4094
86	25415	3797
87	25687	3502
88	26047	3219
89	26315	2923
90	26660	2636
91	26954	2343
92	27243	2050
93	27586	1760
94	27861	1466
95	28128	1172
96	28394	878
97	28685	585
98	28936	292
99	29208	0
