movie_id,age_view10,age_view20,age_view30,age_view40,age_view50,age_sati10,age_sati20,age_sati30,age_sati40,age_sati50
213746,0,0,11,44,44,6.62,6.2,8.96,9.79,9.94
171539,0,30,29,17,23,9.68,9.64,9.66,9.61,9.45
174830,2,37,29,15,17,9.76,9.65,9.67,9.63,9.56
186114,5,35,25,15,20,7,9.51,9.3,9.86,9.6
192613,,,,,,7.8,9.78,8.87,5.27,9.36
144906,3,48,23,19,7,9.72,9.65,9.53,9.45,9.35
151196,2,34,27,29,8,9.64,9.62,9.57,9.44,9.3
169240,0,47,27,17,9,9.7,9.56,9.57,9.49,9.43
196843,17,56,17,8,2,9.68,9.32,9.27,9.1,9.46
175092,,,,,,9.66,9.71,9.28,9.37,9.19
157243,6,61,18,8,7,9.38,9.62,9.43,9.41,9.41
181710,2,38,34,18,7,9.59,9.62,9.5,9.31,9.41
196828,,,,,,5.67,5.94,6.62,8.89,9.92
179518,3,33,34,19,11,9.81,9.56,9.44,9.41,8.84
17421,0,82,12,6,0,9.52,9.54,9.43,9.32,8.66
10200,0,31,31,31,8,9.42,9.49,9.57,9.41,9
154667,3,47,29,16,5,9.73,9.65,9.28,9.03,9.18
10016,,,,,,9.62,9.29,9.22,9.38,8.47
187320,2,40,36,15,6,9.68,9.7,9.54,9.57,9.73
35939,7,57,14,21,0,9.58,9.35,9.42,9.46,9.39
18988,,,,,,9.49,9.41,9.4,9.54,9.17
69105,,,,,,9.42,9.44,9.49,9.32,9.25
156464,3,40,26,21,10,9.48,9.38,9.42,9.41,9.36
10002,2,61,18,16,2,9.56,9.33,9.54,9.44,8.8
10102,10,80,0,10,0,9.56,9.27,9.34,9.42,8.98
17159,5,56,27,12,1,9.57,9.44,9.2,9.32,8.78
106360,6,59,19,11,5,9.56,9.43,9.44,9.45,9.46
29217,,,,,,9.52,9.35,9.42,9.48,9.08
18847,14,59,13,9,5,9.69,9.26,9.07,9.26,9.07
22126,0,54,21,21,4,9.61,9.41,9.16,9.23,8.35
82432,,,,,,9.64,9.48,9.37,9.21,9
197647,0,17,33,33,17,9.4,9.68,9,9.42,9.09
35901,18,47,24,6,6,9.45,9.48,9.42,9.37,8.68
24452,1,34,39,18,7,9.49,9.41,9.45,9.35,8.8
32686,11,60,19,9,1,9.68,9.16,8.55,9.22,8.95
66463,,,,,,9.56,9.45,9.03,9.05,8.58
31162,,,,,,9.61,9.34,9.38,9.35,9.12
203288,,,,,,9.56,9.32,9.42,9.42,9.11
34324,0,29,71,0,0,9.62,9.13,9.15,9.27,9.08
11678,,,,,,9.63,9.53,9.23,8.91,9.43
147092,1,49,26,16,8,9.63,9.53,9.37,9.28,9.55
31796,2,53,31,11,3,9.57,9.31,9.01,9.34,8.47
92125,3,32,29,22,15,9.68,9.5,9.46,9.23,9.28
181700,5,35,25,15,20,9.95,9.28,9.29,9.46,9.38
10048,8,65,10,12,5,9.59,9.32,8.97,9.1,8.71
14450,4,45,29,14,8,9.49,9.5,9.33,9.1,8.77
136900,4,46,29,18,3,9.73,9.52,9.24,8.57,8.41
17170,9,73,9,9,0,9.54,9.43,9.16,9.34,9.08
163788,3,37,32,23,5,9.74,9.48,9.24,9.13,9.1
37886,,,,,,9.31,9.41,9.47,9.3,9.11
161850,6,52,21,15,6,9.78,9.46,9.38,9.34,8.99
134899,5,55,19,14,6,9.75,9.56,9.3,9.22,8.98
142632,0,62,26,9,3,9.66,9.56,9.49,8.91,9.3
12482,,,,,,9.44,9.46,9.28,9.39,8.65
18543,,,,,,9.43,9.54,9.27,9.02,8.17
30688,4,51,38,4,2,9.59,9.06,8.84,9.3,8.83
19079,8,42,17,0,33,9.5,9.4,9.36,8.98,9.04
130850,4,47,31,16,2,9.68,9.46,9.28,9.24,9.31
17541,,,,,,9.56,9.4,8.52,9.25,8.89
154573,1,35,30,18,17,9.53,9.72,9.56,9.14,9.48
19099,11,62,21,2,4,9.55,9.33,9.05,9.37,8.62
31795,0,43,43,11,3,9.58,9.28,9.01,9.11,8.86
189027,,,,,,9.4,9.29,9.38,9.49,9.05
51172,,,,,,9.71,9.43,9.06,9.38,9.07
73372,,,,,,9.69,9.15,8.62,9.2,8.9
19303,50,50,0,0,0,9.63,9.27,8.91,9.14,8.51
17441,,,,,,9.64,9.39,8.91,8.92,8.96
39636,3,54,20,17,6,9.51,9.29,9.23,9.27,8.9
17135,,,,,,9.44,9.31,9.33,9.31,9.22
12270,,,,,,9.57,9.29,9.17,8.95,9.09
10038,,,,,,9.4,9.22,9.49,9.37,9.33
16210,,,,,,9.66,9.26,9.47,9.02,9.19
76667,0,0,0,100,0,9.28,9.45,9.39,9.26,9.29
62586,17,48,28,2,4,9.47,9.35,9.06,9.26,9.11
182348,4,39,34,12,12,9.51,9.66,9.61,8.95,8.8
10114,3,46,24,17,10,9.52,9.29,9.19,9.2,8.95
189075,1,28,30,23,18,9.39,9.48,9.29,9.35,9.55
13008,,,,,,9.61,9.44,9.35,8.4,8.97
31013,4,46,34,13,4,9.35,9.41,9.39,9.32,8.65
87566,,,,,,9.56,9.35,9.12,9.14,9.45
73476,,,,,,9.48,9.37,9.28,9.02,8.78
34227,,,,,,9.47,9.25,9.2,9.28,9.24
144318,3,22,38,31,6,9.69,9.23,9.23,9.28,9.18
35187,8,62,23,6,2,9.55,9.24,9.21,9.1,9.23
25915,0,53,20,27,0,9.61,9.32,9.09,9.1,9.05
189111,0,17,37,21,24,9,9.01,9.37,9.42,9.58
16466,,,,,,9.63,9.18,9.45,8.71,8.82
18782,,,,,,9.58,9.2,9.27,9.03,8.41
75470,,,,,,9.55,9.27,9.15,9.08,9.1
34181,,,,,,9.59,9.16,9.18,9.07,8.51
52120,,,,,,9.45,9.37,9.16,9.04,9.05
152655,0,42,39,10,8,10,9.53,9.35,9.14,9.44
103535,,,,,,9.71,9.36,8.92,9.06,9.12
10001,9,47,25,6,12,9.2,9.36,9.56,9.1,9.17
70457,0,0,100,0,0,9.52,9.29,9.11,8.88,8.98
47528,,,,,,9.53,9.05,8.28,9.12,9.1
29657,,,,,,9.58,9.32,8.93,9.19,8.97
195975,,,,,,9.56,9.37,9.12,9.09,9
17153,,,,,,9.6,9.33,9.12,9.06,8.45
71081,,,,,,9.43,9.39,9.19,9.21,9.34
180220,,,,,,9.43,9.19,8.96,9.59,8.97
