movie_id,cast_actor,cast_cast
171539,비고모텐슨,토니 발레롱가
171539,마허샬라알리,돈 셜리 박사
174830,자인알라피아,자인
174830,요르다노스시프로우,라힐
186114,임지호,본인
192613,하나에나츠키,야가미 타이치
192613,호소야요시마사,이시다 야마토
192613,사카모토치카,아구몬
144906,조시게드,베일리/ 엘리/ 티노/ 버디 목소리
144906,데니스퀘이드,이든
144906,K.J.아파,십대 이든
151196,제이콥트렘블레이,어기 풀먼
151196,줄리아로버츠,이자벨 풀먼
151196,오웬윌슨,네이트 풀먼
169240,김설,아일라
169240,이스마일하지오글루,슐레이만
196843,이시카와유이,바이올렛 에버가든 목소리
196843,나미카와다이스케,길베르트 부겐빌리아 목소리
175092,정백연,
175092,주동우,
175092,톈좡좡,
157243,아미르칸,마하비르 싱 포갓
157243,파티마사나셰이크,기타
157243,산야말호트라,바비타
181710,맷데이먼,캐롤 셸비
181710,크리스찬베일,켄 마일스
196828,김호중,
17421,팀로빈스,앤디 듀프레인
17421,모건프리먼,엘리스 보이드 레드 레딩
10200,아놀드슈왈제네거,터미네이터
154667,이순재,덕구할배
154667,정지훈,덕구
10016,맥컬리컬킨,케빈 맥콜리스터
10016,조페시,좀도둑 해리 림
10016,다니엘스턴,좀도둑 마브 머챈츠
187320,매튜맥커너히,버스터 문 목소리
187320,리즈위더스푼,로지타 목소리
187320,스칼릿조핸슨,애쉬 목소리
35939,손예진,지혜/주희
35939,조승우,준하
35939,조인성,상민
18988,톰행크스,존 밀러 대위
18988,에드워드번즈,Pvt. 리처드 레이번
18988,톰시즈모어,Sgt. 마이클 호바스
69105,벤버트,월-E / M-O 목소리
69105,엘리사나이트,이브 목소리
69105,제프갈린,선장 목소리
156464,라미말렉,프레디 머큐리
156464,루시보인턴,메리 오스틴
156464,귈림리,브라이언 메이
10002,마이클J.폭스,마티 맥플라이
10002,크리스토퍼로이드,에메트 브라운 박사
10002,리톰슨,로레인 베인스 맥플라이
10102,줄리앤드류스,마리아
10102,크리스토퍼플러머,캡틴 조지 본 트랩
10102,엘레노파커,남작 부인
17159,톰행크스,포레스트 검프
106360,휴잭맨,P.T. 바넘
106360,잭에프론,필립 칼라일
106360,미셸윌리엄스,채러티 바넘
29217,러셀크로우,막시무스
29217,호아킨피닉스,코모두스
29217,코니닐슨,루실라
18847,레오나르도디카프리오,잭 도슨
