movie_id,point_dir,point_act,point_sto,point_vis,point_ost
213746,18,18,31,22,11
171539,21,27,29,12,11
174830,25,30,26,12,6
186114,23,12,32,25,8
192613,23,12,29,18,19
144906,22,21,32,17,8
151196,22,25,35,11,7
169240,19,23,36,13,9
196843,21,15,21,25,18
175092,20,24,26,19,11
157243,20,24,29,11,15
181710,25,26,22,20,7
196828,19,18,27,21,15
179518,39,7,39,8,7
17421,23,23,28,15,11
10200,24,19,22,18,17
154667,20,39,27,10,5
10016,23,24,25,15,14
187320,19,12,18,23,29
35939,18,21,22,18,20
18988,26,22,22,19,12
69105,24,13,31,21,11
156464,19,22,18,15,26
10002,24,18,28,15,14
10102,18,19,20,20,23
17159,20,24,27,15,13
106360,20,18,15,19,28
29217,22,24,22,18,14
18847,21,20,21,19,19
22126,21,23,27,14,14
82432,19,27,34,13,8
197647,24,11,43,15,8
35901,27,25,22,14,11
24452,25,17,25,20,14
32686,20,11,26,22,21
66463,23,13,30,19,15
31162,22,29,25,14,9
203288,27,14,21,24,13
34324,21,24,27,18,10
11678,30,25,21,16,9
147092,23,26,33,10,9
31796,22,18,21,21,17
92125,29,21,26,19,5
181700,20,20,33,17,9
10048,21,24,31,14,9
14450,23,21,25,17,13
136900,23,20,22,21,15
17170,21,24,21,16,19
163788,18,18,16,22,25
37886,23,22,22,18,15
161850,20,32,30,10,7
134899,22,26,23,18,11
142632,24,33,32,7,5
12482,18,29,25,11,16
18543,21,23,30,12,13
30688,20,20,24,19,17
19079,21,27,31,12,9
130850,20,15,28,20,17
17541,21,24,27,17,11
154573,24,11,30,25,9
19099,24,25,30,12,8
31795,21,18,21,22,18
189027,21,15,23,22,19
51172,20,23,33,15,10
73372,20,20,32,12,16
19303,21,12,25,22,20
17441,24,16,28,13,19
39636,19,20,25,20,17
17135,24,21,22,16,16
12270,24,22,24,17,13
10038,28,21,22,18,11
16210,19,35,30,10,6
76667,17,13,46,13,10
62586,23,24,21,17,15
182348,19,39,25,10,7
10114,22,23,22,15,18
189075,24,27,22,22,6
13008,18,17,19,18,28
31013,22,25,26,14,13
87566,19,26,27,13,15
73476,18,30,26,14,13
34227,18,30,25,14,13
144318,20,18,31,21,10
35187,22,24,24,16,15
25915,23,12,39,19,8
189111,22,30,24,15,9
16466,22,22,23,15,18
18782,21,11,24,22,22
75470,19,14,22,23,21
34181,20,14,29,19,18
52120,21,12,29,22,15
152655,19,24,29,19,9
103535,24,31,26,11,8
10001,19,18,23,16,24
70457,22,12,28,27,12
47528,21,20,25,19,15
29657,26,23,32,9,9
195975,21,11,26,22,19
17153,22,14,30,17,17
71081,19,29,37,9,6
180220,26,14,22,18,20
151728,19,11,28,21,21
10249,27,29,22,11,12
87307,22,13,32,21,11
12297,25,31,32,7,4
169561,18,17,16,22,26
11608,20,17,19,21,23
13500,25,16,19,23,17
39584,18,19,24,16,23
31268,22,24,27,16,10
14448,21,27,22,19,11
10746,31,30,15,10,14
10244,21,19,21,26,14
176354,20,16,25,19,19
184517,21,8,34,23,14
178434,29,5,41,16,8
10012,31,26,23,11,9
65021,21,11,30,21,18
31726,20,23,24,15,18
28788,21,23,32,15,10
18052,22,10,27,21,20
31794,21,18,22,21,17
18817,22,24,20,20,13
183132,22,11,42,14,11
89752,21,24,18,14,23
32112,19,16,35,22,7
25266,18,11,26,22,22
167787,22,30,29,10,9
16521,21,11,23,21,24
150376,27,27,36,7,3
17869,20,37,30,6,6
182525,20,19,39,10,11
70651,24,27,32,8,9
10670,19,23,22,19,17
17111,22,27,20,14,16
11104,20,21,22,20,18
76309,22,20,29,21,8
51708,20,29,20,16,15
10021,21,21,24,13,20
30306,20,17,23,24,17
16531,24,28,30,12,7
183136,24,16,32,14,14
146534,39,3,52,6,0
146504,25,30,29,12,4
16216,26,30,16,20,8
54900,44,0,0,22,33
29571,23,25,34,12,6
15899,24,25,26,12,13
192066,21,31,21,15,12
38613,24,12,33,17,13
144100,26,24,28,15,7
125724,25,25,19,9,22
196051,25,13,21,24,18
53951,34,5,42,13,5
79762,18,35,29,10,8
51083,25,23,32,12,8
68555,20,18,23,18,22
70251,23,15,17,22,23
70773,23,32,28,9,8
