rank,site,info,time,visitor,traffic,total
1,Google.com,https://www.alexa.com/siteinfo/google.com,17:32,18.42,0.30%,"1,300,441"
2,Naver.com,https://www.alexa.com/siteinfo/naver.com,15:14,12.90,9.80%,"38,994"
3,Youtube.com,https://www.alexa.com/siteinfo/youtube.com,19:41,10.59,13.40%,"988,820"
4,Daum.net,https://www.alexa.com/siteinfo/daum.net,13:00,9.05,4.80%,"15,145"
5,Tistory.com,https://www.alexa.com/siteinfo/tistory.com,6:14,4.13,26.20%,"10,601"
6,Kakao.com,https://www.alexa.com/siteinfo/kakao.com,4:37,5.02,6.80%,"11,869"
7,Tmall.com,https://www.alexa.com/siteinfo/tmall.com,7:00,3.86,1.00%,"6,212"
8,Coupang.com,https://www.alexa.com/siteinfo/coupang.com,8:46,7.42,12.90%,392
9,Amazon.com,https://www.alexa.com/siteinfo/amazon.com,10:55,9.85,19.10%,"363,277"
10,Netflix.com,https://www.alexa.com/siteinfo/netflix.com,4:48,3.54,9.20%,"10,865"
11,Google.co.kr,https://www.alexa.com/siteinfo/google.co.kr,3:31,5.65,8.20%,"6,241"
12,Namu.wiki,https://www.alexa.com/siteinfo/namu.wiki,6:13,4.12,17.30%,104
13,Sohu.com,https://www.alexa.com/siteinfo/sohu.com,3:40,4.57,2.10%,"25,945"
14,Qq.com,https://www.alexa.com/siteinfo/qq.com,3:46,3.91,3.10%,"262,198"
15,Facebook.com,https://www.alexa.com/siteinfo/facebook.com,18:20,8.78,8.80%,"2,181,031"
16,Taobao.com,https://www.alexa.com/siteinfo/taobao.com,4:19,3.48,4.00%,"24,826"
17,Wikipedia.org,https://www.alexa.com/siteinfo/wikipedia.org,3:45,3.15,75.20%,"763,999"
18,Jd.com,https://www.alexa.com/siteinfo/jd.com,3:32,4.35,1.60%,"8,481"
19,360.cn,https://www.alexa.com/siteinfo/360.cn,3:15,4.16,0.40%,"14,998"
20,Baidu.com,https://www.alexa.com/siteinfo/baidu.com,5:17,5.01,6.70%,"101,279"
21,Microsoft.com,https://www.alexa.com/siteinfo/microsoft.com,4:41,3.44,28.50%,"235,680"
22,Yahoo.com,https://www.alexa.com/siteinfo/yahoo.com,5:11,4.75,8.40%,"319,186"
23,Dcinside.com,https://www.alexa.com/siteinfo/dcinside.com,7:50,3.13,31.70%,735
24,Twitch.tv,https://www.alexa.com/siteinfo/twitch.tv,8:31,4.22,7.00%,"9,771"
25,11st.co.kr,https://www.alexa.com/siteinfo/11st.co.kr,5:39,5.24,3.90%,"1,203"
26,Apple.com,https://www.alexa.com/siteinfo/apple.com,3:45,3.63,37.60%,"174,917"
27,Office.com,https://www.alexa.com/siteinfo/office.com,12:54,11.60,5.90%,"5,767"
28,Instagram.com,https://www.alexa.com/siteinfo/instagram.com,8:59,11.00,14.80%,"622,099"
29,Gmarket.co.kr,https://www.alexa.com/siteinfo/gmarket.co.kr,4:23,5.23,15.30%,"2,500"
30,Zoom.us,https://www.alexa.com/siteinfo/zoom.us,6:52,3.67,16.50%,"3,009"
31,Adobe.com,https://www.alexa.com/siteinfo/adobe.com,3:51,3.56,23.30%,"244,100"
32,Fmkorea.com,https://www.alexa.com/siteinfo/fmkorea.com,13:38,17.50,18.70%,795
33,Nate.com,https://www.alexa.com/siteinfo/nate.com,6:11,10.40,12.90%,"2,219"
34,Cafe24.com,https://www.alexa.com/siteinfo/cafe24.com,13:59,12.60,7.40%,"22,965"
35,Weibo.com,https://www.alexa.com/siteinfo/weibo.com,2:58,3.50,2.30%,"68,824"
36,Sina.com.cn,https://www.alexa.com/siteinfo/sina.com.cn,2:51,3.38,3.30%,"45,672"
37,Jobkorea.co.kr,https://www.alexa.com/siteinfo/jobkorea.co.kr,6:21,5.99,25.50%,"1,016"
38,Danawa.com,https://www.alexa.com/siteinfo/danawa.com,5:37,7.09,34.30%,"1,285"
39,Donga.com,https://www.alexa.com/siteinfo/donga.com,6:09,7.95,17.30%,"4,204"
40,Amazon.co.uk,https://www.alexa.com/siteinfo/amazon.co.uk,6:38,5.70,13.10%,"56,938"
41,Chosun.com,https://www.alexa.com/siteinfo/chosun.com,2:48,1.89,29.80%,"7,512"
42,Yahoo.co.jp,https://www.alexa.com/siteinfo/yahoo.co.jp,10:34,9.53,15.30%,"57,560"
43,Auction.co.kr,https://www.alexa.com/siteinfo/auction.co.kr,3:23,4.27,12.70%,"1,352"
44,Ebay.com,https://www.alexa.com/siteinfo/ebay.com,9:59,7.82,16.80%,"74,970"
45,Ruliweb.com,https://www.alexa.com/siteinfo/ruliweb.com,9:29,13.00,24.50%,505
46,Bing.com,https://www.alexa.com/siteinfo/bing.com,2:52,2.59,5.00%,"41,693"
47,Saramin.co.kr,https://www.alexa.com/siteinfo/saramin.co.kr,5:06,6.52,37.50%,"1,591"
48,Dropbox.com,https://www.alexa.com/siteinfo/dropbox.com,4:56,3.95,8.90%,"22,306"
49,Inven.co.kr,https://www.alexa.com/siteinfo/inven.co.kr,6:21,6.65,29.00%,"1,309"
50,Amazon.co.jp,https://www.alexa.com/siteinfo/amazon.co.jp,8:02,9.87,18.80%,"48,782"
