rank,site,info,time,visitor,traffic,total
1,Google.com,https://www.alexa.com/siteinfo/google.com,17:32,18.42,0.30%,"1,300,441"
2,Naver.com,https://www.alexa.com/siteinfo/naver.com,15:14,12.90,9.80%,"38,994"
3,Youtube.com,https://www.alexa.com/siteinfo/youtube.com,19:41,10.59,13.40%,"988,820"
4,Daum.net,https://www.alexa.com/siteinfo/daum.net,13:00,9.05,4.80%,"15,145"
5,Tistory.com,https://www.alexa.com/siteinfo/tistory.com,6:14,4.13,26.20%,"10,601"
6,Kakao.com,https://www.alexa.com/siteinfo/kakao.com,4:37,5.02,6.80%,"11,869"
7,Tmall.com,https://www.alexa.com/siteinfo/tmall.com,7:00,3.86,1.00%,"6,212"
8,Coupang.com,https://www.alexa.com/siteinfo/coupang.com,8:46,7.42,12.90%,392
9,Amazon.com,https://www.alexa.com/siteinfo/amazon.com,10:55,9.85,19.10%,"363,277"
10,Netflix.com,https://www.alexa.com/siteinfo/netflix.com,4:48,3.54,9.20%,"10,865"
