rank,title,writer,link,public,img
1위,트렌드 코리아 2022,"김난도,전미영 등저",http://www.yes24.com/Product/Goods/103737985,미래의창,http://image.yes24.com/Goods/103737985/XL
2위,갯마을 차차차 2,신하은 저,http://www.yes24.com/Product/Goods/104105224,북로그컴퍼니,http://image.yes24.com/Goods/104105224/XL
3위,갯마을 차차차 1,신하은 저,http://www.yes24.com/Product/Goods/104105212,북로그컴퍼니,http://image.yes24.com/Goods/104105212/XL
4위,설민석의 한국사 대모험 18,"설민석,스토리박스 글/정현희 그림/강석화 감수",http://www.yes24.com/Product/Goods/104122285,아이휴먼,http://image.yes24.com/Goods/104122285/XL
5위,달러구트 꿈 백화점 2,이미예 저,http://www.yes24.com/Product/Goods/102789938,팩토리나인,http://image.yes24.com/Goods/102789938/XL
6위,달러구트 꿈 백화점,이미예 저,http://www.yes24.com/Product/Goods/91065309,팩토리나인,http://image.yes24.com/Goods/91065309/XL
7위,4~7세 보다 중요한 시기는 없습니다,이임숙 저,http://www.yes24.com/Product/Goods/102815649,카시오페아,http://image.yes24.com/Goods/102815649/XL
8위,설민석의 세계사 대모험 10,"설민석,김정욱 글/박성일 그림/원태준 감수",http://www.yes24.com/Product/Goods/103967136,단꿈아이,http://image.yes24.com/Goods/103967136/XL
9위,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키 저/권영주 역,http://www.yes24.com/Product/Goods/102360203,모모,http://image.yes24.com/Goods/102360203/XL
10위,지금은 나만의 시간입니다,김유진 저 ,http://www.yes24.com/Product/Goods/103981730,토네이도,http://image.yes24.com/Goods/103981730/XL
